# mag_r,classifiction_eff,detection_eff,eff_star
2.338888888888888573e+01,8.395061728395061262e-01,9.665871121718376813e-01,8.114558472553698998e-01
2.350000000000000000e+01,8.183856502242152775e-01,9.802197802197801790e-01,8.021978021978022344e-01
2.361111111111111072e+01,8.516853932584269593e-01,9.673913043478260532e-01,8.239130434782608869e-01
2.372222222222222143e+01,7.923387096774193727e-01,9.821782178217821624e-01,7.782178217821782429e-01
2.383333333333333570e+01,7.358078602620087283e-01,9.807280513918629206e-01,7.216274089935760250e-01
2.394444444444444287e+01,7.706422018348624281e-01,9.561403508771929571e-01,7.368421052631578538e-01
2.405555555555555713e+01,7.601626016260162322e-01,9.723320158102767286e-01,7.391304347826086474e-01
2.416666666666666430e+01,6.953642384105960250e-01,9.516806722689075126e-01,6.617647058823529216e-01
2.427777777777777857e+01,7.087794432548180090e-01,9.648760330578511901e-01,6.838842975206611552e-01
2.438888888888888573e+01,6.990950226244343479e-01,9.567099567099567325e-01,6.688311688311687764e-01
2.450000000000000000e+01,6.728016359918200795e-01,9.440154440154440163e-01,6.351351351351350871e-01
2.461111111111111072e+01,6.369047619047618625e-01,9.213893967093236270e-01,5.868372943327239133e-01
2.472222222222222143e+01,6.469387755102040671e-01,9.297912713472485935e-01,6.015180265654649361e-01
2.483333333333333570e+01,6.348623853211009527e-01,9.380378657487091765e-01,5.955249569707401491e-01
2.494444444444444287e+01,6.054158607350096366e-01,9.332129963898917469e-01,5.649819494584837898e-01
2.505555555555555713e+01,6.175908221797322684e-01,9.223985890652557362e-01,5.696649029982363555e-01
2.516666666666666430e+01,5.812500000000000444e-01,9.266409266409266765e-01,5.386100386100386439e-01
2.527777777777777857e+01,5.555555555555555802e-01,9.053254437869822091e-01,5.029585798816568198e-01
2.538888888888888573e+01,5.447154471544715104e-01,9.077490774907749360e-01,4.944649446494465139e-01
2.550000000000000000e+01,4.981060606060606077e-01,8.934010152284264095e-01,4.450084602368866160e-01
2.561111111111111072e+01,3.996101364522416932e-01,9.259927797833934493e-01,3.700361010830324759e-01
2.572222222222222143e+01,3.447580645161290591e-01,9.001814882032668219e-01,3.103448275862069061e-01
2.583333333333333215e+01,2.809611829944547168e-01,8.883415435139573324e-01,2.495894909688013141e-01
2.594444444444444287e+01,1.829268292682926789e-01,8.571428571428570953e-01,1.567944250871080025e-01
2.605555555555555713e+01,1.280148423005565972e-01,8.693548387096774466e-01,1.112903225806451679e-01
2.616666666666666430e+01,6.578947368421052266e-02,8.580645161290322287e-01,5.645161290322580488e-02
2.627777777777777857e+01,5.851063829787234161e-02,8.493975903614457978e-01,4.969879518072289198e-02
2.638888888888888573e+01,5.762081784386616917e-02,7.982195845697329650e-01,4.599406528189910887e-02
2.650000000000000000e+01,5.588822355289421034e-02,7.977707006369426646e-01,4.458598726114649385e-02
2.661111111111111072e+01,3.473491773308957919e-02,8.008784773060029227e-01,2.781844802342606227e-02
2.672222222222222143e+01,1.646090534979424008e-02,7.534883720930232176e-01,1.240310077519379828e-02
2.683333333333333215e+01,3.285420944558521683e-02,7.225519287833828130e-01,2.373887240356083173e-02
2.694444444444444287e+01,1.670644391408114549e-02,6.263079222720477901e-01,1.046337817638266082e-02
