# mag_r,classifiction_eff,detection_eff,classification_detection_eff
1.661111111111111072e+01,9.850074962518741151e-01,7.828638497652582462e-01,7.711267605633802535e-01
1.783333333333333215e+01,9.991961414790996310e-01,9.991967871485943897e-01,9.983935742971887795e-01
1.905555555555555713e+01,9.936271906532129217e-01,9.973516949152542166e-01,9.909957627118644030e-01
2.027777777777777857e+01,9.860917941585535251e-01,9.961898164184274096e-01,9.823346033945271616e-01
2.150000000000000000e+01,9.675829875518672241e-01,9.943269726663228614e-01,9.620938628158844930e-01
2.272222222222222143e+01,9.024547803617570807e-01,9.838983050847457390e-01,8.879237288135592987e-01
2.394444444444444642e+01,7.572081924835951661e-01,9.656298003072196767e-01,7.311827956989247479e-01
2.516666666666666785e+01,5.518298179195961772e-01,9.185295578738201794e-01,5.068719986752773243e-01
2.638888888888888928e+01,8.643287283032234647e-02,7.997167138810198361e-01,6.912181303116146647e-02
